Timestamp(us), ax, ay, az, gx, gy, gz
1440948028,-1719,-232,651,285,308,-22
1440968017,-1742,-312,661,271,311,-88
1440988006,-1763,-385,699,252,361,-169
1441007995,-1755,-467,699,244,329,-240
1441027984,-1791,-568,616,200,258,-271
1441047973,-1794,-563,522,138,91,-265
1441067962,-1552,-489,515,89,56,-366
1441087951,-1567,-698,644,31,360,-485
1441107940,-1956,-822,722,38,394,-420
1441127929,-2446,-1008,707,100,-10,-276
1441147918,-2550,-1029,372,75,-222,-160
1441167907,-2153,-1029,319,-41,-287,-180
1441187896,-1972,-1100,499,-135,-293,-195
1441207885,-1918,-1186,628,-156,-230,-163
1441227874,-1882,-1212,572,-169,-210,-131
1441247863,-1951,-1186,566,-212,-213,-81
1441267852,-2053,-1159,673,-223,-235,-13
1441287841,-2012,-1129,686,-192,-201,63
1441307830,-1862,-1092,567,-159,-155,132
1441327819,-1752,-1065,451,-169,-159,187
1441347808,-1720,-960,529,-219,-266,206
1441367797,-1828,-820,740,-227,-428,226
1441387786,-1896,-706,771,-168,-441,263
1441407775,-1852,-630,556,-96,-358,280
1441427764,-1791,-567,396,-76,-314,269
1441447753,-1814,-494,392,-90,-287,258
1441467742,-1824,-417,484,-72,-267,246
1441487731,-1833,-330,539,-26,-270,217
1441507720,-1777,-248,540,4,-207,173
1441527709,-1705,-129,560,15,-136,130
1441547698,-1710,-27,646,32,-113,98
1441567687,-1777,-65,730,65,-81,91
1441587677,-1748,-159,749,103,2,78
1441607666,-1639,-237,732,131,57,26
1441627655,-1569,-178,748,174,104,-78
1441647644,-1533,-161,897,260,145,-180
1441667633,-1614,-362,934,347,103,-242
1441687622,-1614,-362,934,362,175,-284
1441707611,-1800,-562,800,362,175,-284
1441727600,-1881,-522,706,329,299,-329
1441747589,-1856,-496,724,284,316,-371
1441767578,-1693,-614,741,243,258,-415
1441787567,-1564,-759,766,189,165,-483
1441807556,-1654,-816,749,110,239,-541
1441827545,-1923,-874,752,37,350,-513
1441847534,-2267,-1023,683,7,154,-348
1441867523,-2313,-1162,522,-60,-147,-169
1441887512,-2073,-1191,429,-173,-335,-69
1441907501,-1803,-1157,596,-284,-343,-54
1441927490,-1694,-1167,766,-347,-197,-56
1441947479,-1806,-1198,772,-357,-94,-10
1441967468,-1979,-1195,732,-354,-65,63
1441987457,-2034,-1151,685,-316,-72,108
1442007446,-1914,-1119,651,-234,-43,130
1442027435,-1834,-1087,604,-168,-32,186
1442047424,-1821,-997,559,-143,-7,258
1442067413,-1800,-915,550,-121,17,309
1442087402,-1796,-830,539,-105,-21,334
1442107391,-1793,-718,579,-84,-32,336
1442127380,-1725,-593,622,-45,-10,320
1442147369,-1681,-492,634,-8,19,299
1442167358,-1667,-396,610,15,39,255
